No.,Thi,Fhi,Fci,Tco,Tho,U
1,40,65,100,32.5,34,0.1821
2,40,65,200,32,33.5,0.1943
3,40,65,300,31.5,33,0.2054
4,40,75,100,33.25,35,0.1676
5,40,75,200,33,34.5,0.1951
6,40,75,300,32.5,34,0.2101
7,40,85,100,33.5,36,0.1306
8,40,85,200,33.25,35.25,0.1707
9,40,85,300,32.75,34.75,0.1872
10,50,65,100,34,36,0.2468
11,50,65,200,33.5,35.5,0.2517
12,50,65,300,32.5,34.5,0.2597
13,50,75,100,34.5,37,0.2491
14,50,75,200,34,36,0.2848
15,50,75,300,33,35,0.2953
16,50,85,100,35,38,0.2471
17,50,85,200,34.25,37,0.2715
18,50,85,300,33.5,35.5,0.3291
19,60,65,100,36,40.5,0.2014
20,60,65,200,35.5,38.5,0.2505
21,60,65,300,34.5,37,0.2754
22,60,75,100,38,42.5,0.2156
23,60,75,200,37,41,0.2401
24,60,75,300,36.5,39.5,0.282
25,60,85,100,40,44,0.2397
26,60,85,200,39,42.5,0.2714
27,60,85,300,37.5,41,0.2873
